CIT_ID;CIT_NM;CTY_NM
ABUDH;ABU DHABI                ;UTD ARAB EMIRS 
ABUD1;ABU DHABI LOCAL          ;UTD ARAB EMIRS 
ABUJA;ABUJA                    ;NIGERIA        
ACCRA;ACCRA                    ;GHANA          
ADELA;ADELAIDE                 ;AUSTRALIA      
ALMAT;ALMATY                   ;KAZAKSTAN      
AMMAN;AMMAN                    ;JORDAN         
AMSTE;AMSTERDAM                ;NETHERLANDS    
AMST1;AMSTERDAM LOCAL          ;NETHERLANDS    
ANKAR;TURKEY                   ;TURKEY         
ASTAN;ASTANA                   ;KAZAKSTAN      
ATHEN;ATHENS                   ;GREECE         
ATHE1;ATHENS LOCAL             ;GREECE         
AUCKL;AUCKLAND                 ;NEW ZEALAND    
BAKU ;BAKU                     ;AZERBAIJAN     
BANGK;BANGKOK                  ;THAILAND       
BANGU;BANGUI                   ;CENT.AFRICA.REP
BARCE;BARCELONA                ;SPAIN          
BASLE;BASLE                    ;SWITZERLAND    
BEIJI;BEIJING                  ;CHINA          
BEIJ1;BEIJING1                 ;CHINA          
BEIRT;BEIRUT                   ;LEBANON        
BELGR;BELGRADE                 ;SERBIA         
BELIZ;BELIZE                   ;BELIZE         
BELOH;BELO HORIZONTE           ;BRAZIL         
BERLI;BERLIN                   ;GERMANY        
BERN ;BERN                     ;SWITZERLAND    
BISHK;BISHKEK                  ;KYRGYZTAN      
BOGOT;BOGOTA                   ;COLOMBIA       
BOMBA;BOMBAY                   ;INDIA          
BONN ;BONN                     ;GERMANY        
BOSTO;BOSTON                   ;UNITED STATES  
BRASI;BRASILIA                 ;BRAZIL         
BRATI;BRATISLAVA               ;SLOVAKIA       
BRIDG;BRIDGETOWN               ;BARBADOS       
BRISB;BRISBANE                 ;AUSTRALIA      
BRUSS;BRUSSELS                 ;BELGIUM        
BRUS1;BRUSSELS LOCAL           ;BELGIUM        
BUCHA;BUCHAREST                ;ROMANIA        
BUDAP;BUDAPEST                 ;HUNGARY        
BUENO;BUENOS AIRES             ;ARGENTINA      
CAIRE;CAIRE                    ;EGYPT          
CALCU;CALCUTTA                 ;INDIA          
CALGA;CALGARY                  ;CANADA         
CANBE;CANBERRA                 ;AUSTRALIA      
CARAC;CARACAS                  ;VENEZUELA      
CARDI;CARDIFF                  ;UNITED KINGDOM 
CHICA;CHICAGO                  ;UNITED STATES  
COLOG;COLOGNE                  ;GERMANY        
COLOM;COLOMBO                  ;SRI LANKA      
COPEN;COPENHAGEN               ;DENMARK        
CURAC;CURACAO                  ;NETHERL.ANTILLE
CYPRU;CYPRUS                   ;CYPRUS         
DALLA;DALLAS                   ;UNITED STATES  
DAR E;DAR ES SALAM             ;TANZANIA       
DHAKA;DHAKA                    ;BANGLA DESH    
DOHA ;DOHA                     ;QATAR          
DUBAI;DUBAI                    ;UTD ARAB EMIRS 
DUBLI;DUBLIN                   ;IRELAND        
DUBL1;DUBLIN LOCAL             ;IRELAND        
DUNED;DUNEDIN                  ;NEW ZEALAND    
DUSL1;DUSSELDORF LOCAL         ;GERMANY        
DUSSE;DUSSELDORF               ;GERMANY        
EDMON;EDMONTON                 ;CANADA         
EOC  ;EUROCLEAR                ;INTERNATIONAL  
FKFT1;FRANKFURT LOCAL          ;GERMANY        
FRANK;FRANKFURT                ;GERMANY        
GABOR;GABORONE                 ;BOTSWANA       
GENEV;GENEVA                   ;SWITZERLAND    
GEORG;GEORGETOWN               ;CAYMAN ISLANDS 
GRAND;GRAND CAYMAN             ;CAYMAN ISLANDS 
GUATE;GUATEMALA                ;GUATEMALA      
GUERN;GUERNSEY                 ;CHANNEL ISLANDS
HAGU1;THE HAGUE LOCAL          ;NETHERLANDS    
HAMBU;HAMBURG                  ;GERMANY        
HAMB1;HAMBURG LOCAL            ;GERMANY        
HAMIL;HAMILTON                 ;BERMUDA        
HANNO;HANNOVER                 ;GERMANY        
HANOI;HANOI                    ;VIETNAM        
HARAR;HARARE                   ;ZIMBABWE       
HELSI;HELSINKI                 ;FINLAND        
HELS1;HELSINKI LOCAL           ;FINLAND        
HOBAR;HOBART                   ;AUSTRALIA      
HONG ;HONG KONG                ;HONG KONG      
HOUST;HOUSTON (TEXAS)          ;UNITED STATES  
ISLAM;ISLAMABAD                ;PAKISTAN       
ISTAN;ISTANBUL                 ;TURKEY         
JAKAR;JAKARTA                  ;INDONESIA      
JAKA1;JAKARTA LOCAL            ;INDONESIA      
JEDDA;JEDDAH                   ;SAUDI ARABIA   
JEWIS;JEWISH HOLIDAYS          ;ISRAEL         
JOHAN;JOHANNESBURG             ;SOUTH AFRICA   
KAMPA;KAMPALA                  ;UGANDA         
KIEV ;KIEV                     ;UKRAINE        
KUALA;KUALA LUMPUR             ;MALAYSIA       
KUWAI;KUWAIT                   ;KUWAIT         
LABUA;LABUAN                   ;MALAYSIA       
LAGOS;LAGOS                    ;NIGERIA        
LIMA ;LIMA                     ;PERU           
LISBO;LISBON                   ;PORTUGAL       
LISB1;LISBON LOCAL             ;PORTUGAL       
LJUBL;LJUBLJANA                ;SLOVENIA       
LONDO;LONDON                   ;UNITED KINGDOM 
LOUIS;PORT LOUIS               ;MAURITIUS      
LUAND;LUANDA                   ;ANGOLA         
