Currency Code;Currency Name;Denomination Cur;Settlement Cur;Required Open City 1;Required Open City 2;Required Open City 3;Default ROC
AED;UNITED ARAB EMIRATES DINAR;Y;Y;Abou Dhabi;;;Abou Dhabi
AMD;ARMENIA DRAM        ;Y;N;;;;
AOA;ANGOLA KWANZA       ;Y;N;;;;
ARS;ARGENTINE PESO      ;Y;Y;Buenos Aires;;;Buenos Aires
ATS;AUSTRIAN SCHILLING  ;Y;N;Vienna;;;Vienna
AUD;AUSTRALIAN DOLLAR   ;Y;Y;Sydney;Melbourne;;Sydney|Melbourne
AZN;AZERBAIJANIAN MANAT ;Y;N;;;;
BDT;TAKA                ;Y;N;;;;
BEF;BELGIAN FRANC       ;Y;N;Brussels;;;Brussels
BGN;BULGARIAN NEW LEV   ;Y;N;Sofia;;;Sofia
BHD;BAHRAINI DINAR      ;Y;Y;Manama;;;Manama
BMD;BERMUDIAN DOLLAR    ;Y;N;;;;
BOB;BOLIVIANO           ;Y;N;;;;
BRL;BRAZILIAN REAL      ;Y;Y;Brasilia;Rio de Janeiro;Sao Paulo;Brasilia|Rio de Janeiro|Sao Paulo
BWP;BOTSWANA PULA       ;Y;Y;Gaborone;;;Gaborone
BYR;BELARUSSIAN RUBBLE  ;Y;N;;;;
CAD;CANADIAN DOLLAR     ;Y;Y;Toronto;;;Toronto
CHF;SWISS FRANC         ;Y;Y;Zurich;;;Zurich
CLF;UNIDAD DE FOMENTO   ;Y;N;;;;
CLP;CHILEAN PESO        ;Y;Y;Santiago;;;Santiago
CNY;YUAN RENMINBI       ;Y;Y;Beijing;;;Beijing
COP;COLOMBIAN PESO      ;Y;N;;;;
CRC;COSTA RICAN COLON   ;Y;N;;;;
CYP;CYPRUS POUND        ;Y;N;;;;
CZK;CZECH KORUNA        ;Y;Y;Prague;;;Prague
DEM;DEUTSCHE MARK       ;Y;N;Frankfurt;;;Frankfurt
DKK;DANISH KRONA        ;Y;Y;Copenhagen;;;Copenhagen
DOP;DOMINICAN PESO      ;Y;N;;;;
DZD;ALGERIA DINAR       ;Y;N;;;;
EEK;ESTONIAN KROON      ;Y;N;;;;
EGP;EGYPTIAN POUND      ;Y;N;Cairo;;;Cairo
ESP;PESETA CONVERT B    ;Y;N;Madrid;;;Madrid
EUR;EURO                ;Y;Y;Target1;;;Target1
FIM;FINISH MARK         ;Y;N;Helsinki;;;Helsinki
FRF;FRENCH FRANC        ;Y;N;Paris;;;Paris
GBP;POUND STERLING      ;Y;Y;London;;;London
GEL;GEORGIAN LARI       ;Y;N;;;;
GHC;GHANA CEDI          ;Y;N;;;;
GHS;GHANA CEDI          ;Y;N;Accra;;;Accra
GRD;GREEK DRACHMA       ;Y;N;Athens;;;Athens
GTQ;GUATEMALA QUETZAL   ;Y;N;;;;
HKD;HONG KONG DOLLAR    ;Y;Y;Hong Kong;;;Hong Kong
HRK;CROATIAN KUNA       ;Y;Y;Zagreb;;;Zagreb
HUF;FORINT              ;Y;Y;Budapest;;;Budapest
IDR;INDONESIAN RUPIAH   ;Y;Y;Jakarta;;;Jakarta
IEP;IRISH POUND         ;Y;N;Dublin;;;Dublin
ILS;NEW ISRAELIAN SHEKEL;Y;Y;Tel Aviv;;;Tel Aviv
INR;INDIAN RUPEE        ;Y;N;Mumbai;;;Mumbai
ISK;ICELANDIC KRONA     ;Y;Y;Reykjavik;;;Reykjavik
ITL;ITALIAN LIRA        ;Y;N;Milan;;;Milan
JMD;JAMAICAN DOLLAR     ;Y;N;;;;
JOD;JORDANIAN DINAR     ;Y;Y;;;;
JPY;JAPANESE YEN        ;Y;Y;Tokyo;;;Tokyo
KES;KENYAN SHILLING     ;Y;N;Nairobi;;;Nairobi
KGS;SOM                 ;Y;N;;;;
KHR;RIEL                ;Y;N;;;;
KRW;SOUTH KOREA WON     ;Y;N;Seoul;;;Seoul
KWD;KUWAITI DINAR       ;Y;Y;Kuwait City;;;Kuwait City
KZT;KAZAKHSTAN TENGE    ;Y;N;Almaty;;;Almaty
LBP;LEBANESE POUND      ;Y;Y;Beirut;;;Beirut
LKR;SRI LANKA RUPEE     ;Y;N;;;;
LTL;LITHUANIAN LITAS    ;Y;N;Vilnius;;;Vilnius
LVL;LATVIAN LATS        ;Y;N;Riga;;;Riga
MAD;MOROCCAN DIRHAM     ;Y;N;Rabat;;;Rabat
MKD;MACEDONIA DENAR     ;Y;N;;;;
MMK;KYAT                ;Y;N;;;;
MNT;MONGOLIA TUGRIK     ;Y;N;;;;
MTL;MALTESE LIRA        ;Y;N;;;;
MUR;MAURITIAN RUPEE     ;Y;N;;;;
MXN;MEXICAN NUEVO PESO  ;Y;Y;Mexico City;;;Mexico City
MXV;MEXICAN UDI         ;Y;N;;;;
MYR;MALAYSIAN RINGGIT   ;Y;Y;Kuala Lumpur;;;Kuala Lumpur
MZN;MOZAMBIQUE METICAL  ;Y;N;;;;
NAD;NAMIBIAN DOLLAR     ;Y;N;;;;
NGN;NIGERIAN NAIRA      ;Y;N;Lagos;;;Lagos
NIO;NICARAGUAN CORDO ORO;Y;N;;;;
NLG;DUTCH GUILDER       ;Y;N;Amsterdam;;;Amsterdam
NOK;NORWEGIAN KRONA     ;Y;Y;Oslo;;;Oslo
NPR;NEPALESE RUPEE      ;Y;N;;;;
NZD;NEW ZEALAND DOLLAR  ;Y;Y;Auckland;Wellington;;Auckland|Wellington
OMR;OMANI RIAL          ;Y;Y;Muscat;;;Muscat
PEN;PERUVIAN NUEVO SOL  ;Y;Y;Lima;;;Lima
PHP;PHILIPPINE PESO     ;Y;Y;Manila;;;Manila
PKR;PAKISTAN RUPEE      ;Y;N;;;;
PLN;POLISH ZLOTY        ;Y;Y;Warsaw;;;Warsaw
PTE;PORTUGUESE ESCUDO   ;Y;N;Lisbon;;;Lisbon
PYG;GUARANI             ;Y;N;;;;
QAR;QATARI RIAL         ;Y;Y;;;;
ROL;ROMANIAN LEU        ;Y;N;;;;
RON;ROMANIAN NEW LEU    ;Y;Y;Bucharest;;;Bucharest
RSD;SERBIAN DINAR       ;Y;N;;;;
RUB;RUSSIAN RUBLE       ;Y;Y;Moscow;;;Moscow
RUR;RUSSIAN RUBLE       ;Y;N;;;;
RWF;RWANDAN FRANC       ;Y;N;;;;
SAR;SAUDI ARABIAN RYAL  ;Y;Y;Riyadh;;;Riyadh
SEK;SWEDISH KRONA       ;Y;Y;Stockholm;;;Stockholm
SGD;SINGAPORE DOLLAR    ;Y;Y;Singapore;;;Singapore
SIT;SLOVENIAN TOLAR     ;Y;N;;;;
SKK;SLOVAK KORUNA       ;Y;N;Bratislava;;;Bratislava
THB;THAI BAHT           ;Y;Y;Bangkok;;;Bangkok
TMT;TURKMENIST NEW MANAT;Y;N;;;;
TND;TUNISIAN DINAR      ;Y;N;;;;
TRL;TURKISH LIRA        ;Y;N;;;;
TRY;NEW TURKISH LIRA    ;Y;Y;Istanbul;;;Istanbul
TTD;TRIN/TOBAGO DOLLAR  ;Y;N;;;;
TWD;TAIWAN DOLLAR       ;Y;N;Taipei;;;Taipei
TZS;TANZANIAN SHILLING  ;Y;N;;;;
UAH;UKRAINE HRYVNIA     ;Y;N;Kiev;;;Kiev
UGX;UGANDA SHILLING     ;Y;N;;;;
USD;UNITED STATES DOLLAR;Y;Y;New York;;;New York
UYU;URUGUAYAN PESO      ;Y;N;Montevideo;;;Montevideo
UZS;UZBEKISTAN SUM      ;Y;N;;;;
VEB;VENEZUELIAN BOLIVAR ;Y;N;;;;
VEF;BOLIVAR FUERTE      ;Y;N;;;;
VND;VIETNAM DONG        ;Y;N;;;;
VUV;VATU                ;Y;N;;;;
XAF;CFA FRANC BEAC      ;Y;N;;;;
XAU;GOLD                ;Y;N;;;;
XDR;SDR(IMF)            ;Y;N;;;;
XEU;EUROPEAN CURR UNIT  ;Y;N;;;;
XOF;CFA FRANC BCEAO     ;Y;N;;;;
XYZ;EUROCENT            ;Y;N;;;;
YER;YEMENI RIAL         ;Y;N;;;;
ZAR;SOUTH AFRICAN RAND  ;Y;Y;Johannesburg;;;Johannesburg
ZMK;OKWACHA             ;Y;N;;;;
ZMW;KWACHA              ;Y;N;Lusaka;;;Lusaka
ZWD;ZIMBABWEAN DOLLAR   ;Y;N;;;;
